donor_name_e,variable,2023-2024,comment,policy_markers_names,marker,donor_name_text
Sweden,biodiversity,95.27,"",Biodiversity,biodiversity,Sweden
Switzerland,biodiversity,100,"",Biodiversity,biodiversity,Switzerland
United Kingdom,biodiversity,90.32,"",Biodiversity,biodiversity,the United Kingdom
Finland,biodiversity,99.17,"",Biodiversity,biodiversity,Finland
Iceland,biodiversity,100,"",Biodiversity,biodiversity,Iceland
Ireland,biodiversity,91.83,"",Biodiversity,biodiversity,Ireland
Luxembourg,biodiversity,100,"",Biodiversity,biodiversity,Luxembourg
Greece,biodiversity,100,"",Biodiversity,biodiversity,Greece
Spain,biodiversity,99.47,"",Biodiversity,biodiversity,Spain
Slovenia,biodiversity,86.93,"",Biodiversity,biodiversity,Slovenia
Czechia,biodiversity,98.97,"",Biodiversity,biodiversity,Czechia
Slovak Republic,biodiversity,99.97,"",Biodiversity,biodiversity,the Slovak Republic
Hungary,biodiversity,20.9,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Biodiversity,biodiversity,Hungary
Poland,biodiversity,66.13,"",Biodiversity,biodiversity,Poland
Romania,biodiversity,48.79,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Biodiversity,biodiversity,Romania
Estonia,biodiversity,39.05,Data are not shown for this donor as the coverage is below the publication threshold in 2023-24.,Biodiversity,biodiversity,Estonia
Latvia,biodiversity,100,"",Biodiversity,biodiversity,Latvia
Lithuania,biodiversity,59.39,"",Biodiversity,biodiversity,Lithuania
Canada,biodiversity,99.71,"",Biodiversity,biodiversity,Canada
United States,biodiversity,100,"",Biodiversity,biodiversity,the United States
Japan,biodiversity,92.57,"",Biodiversity,biodiversity,Japan
Korea,biodiversity,98.86,"",Biodiversity,biodiversity,Korea
Australia,biodiversity,100,"",Biodiversity,biodiversity,Australia
New Zealand,biodiversity,100,"",Biodiversity,biodiversity,New Zealand
EU Institutions,biodiversity,100,"",Biodiversity,biodiversity,the EU Institutions
Austria,climate_adaptation,99.97,"",Climate adaptation,climate_adaptation,Austria
Belgium,climate_adaptation,72.15,"",Climate adaptation,climate_adaptation,Belgium
Denmark,climate_adaptation,88.95,"",Climate adaptation,climate_adaptation,Denmark
France,climate_adaptation,90.89,"",Climate adaptation,climate_adaptation,France
Germany,climate_adaptation,93.55,"",Climate adaptation,climate_adaptation,Germany
Italy,climate_adaptation,82,"",Climate adaptation,climate_adaptation,Italy
Netherlands,climate_adaptation,100,"",Climate adaptation,climate_adaptation,the Netherlands
Norway,climate_adaptation,100,"",Climate adaptation,climate_adaptation,Norway
Portugal,climate_adaptation,99.31,"",Climate adaptation,climate_adaptation,Portugal
Sweden,climate_adaptation,95.45,"",Climate adaptation,climate_adaptation,Sweden
Switzerland,climate_adaptation,100,"",Climate adaptation,climate_adaptation,Switzerland
United Kingdom,climate_adaptation,93.39,"",Climate adaptation,climate_adaptation,the United Kingdom
Finland,climate_adaptation,99.17,"",Climate adaptation,climate_adaptation,Finland
Iceland,climate_adaptation,100,"",Climate adaptation,climate_adaptation,Iceland
Ireland,climate_adaptation,92.74,"",Climate adaptation,climate_adaptation,Ireland
Luxembourg,climate_adaptation,100,"",Climate adaptation,climate_adaptation,Luxembourg
